,age,education-num,capital-gain,capital-loss,hours-per-week,workclass_ Federal-gov,workclass_ Local-gov,workclass_ Private,workclass_ Self-emp-inc,workclass_ Self-emp-not-inc,workclass_ State-gov,workclass_ Without-pay,education_level_ 10th,education_level_ 11th,education_level_ 12th,education_level_ 1st-4th,education_level_ 5th-6th,education_level_ 7th-8th,education_level_ 9th,education_level_ Assoc-acdm,education_level_ Assoc-voc,education_level_ Bachelors,education_level_ Doctorate,education_level_ HS-grad,education_level_ Masters,education_level_ Preschool,education_level_ Prof-school,education_level_ Some-college,marital-status_ Divorced,marital-status_ Married-AF-spouse,marital-status_ Married-civ-spouse,marital-status_ Married-spouse-absent,marital-status_ Never-married,marital-status_ Separated,marital-status_ Widowed,occupation_ Adm-clerical,occupation_ Armed-Forces,occupation_ Craft-repair,occupation_ Exec-managerial,occupation_ Farming-fishing,occupation_ Handlers-cleaners,occupation_ Machine-op-inspct,occupation_ Other-service,occupation_ Priv-house-serv,occupation_ Prof-specialty,occupation_ Protective-serv,occupation_ Sales,occupation_ Tech-support,occupation_ Transport-moving,relationship_ Husband,relationship_ Not-in-family,relationship_ Other-relative,relationship_ Own-child,relationship_ Unmarried,relationship_ Wife,race_ Amer-Indian-Eskimo,race_ Asian-Pac-Islander,race_ Black,race_ Other,race_ White,sex_ Female,sex_ Male,native-country_ Cambodia,native-country_ Canada,native-country_ China,native-country_ Columbia,native-country_ Cuba,native-country_ Dominican-Republic,native-country_ Ecuador,native-country_ El-Salvador,native-country_ England,native-country_ France,native-country_ Germany,native-country_ Greece,native-country_ Guatemala,native-country_ Haiti,native-country_ Holand-Netherlands,native-country_ Honduras,native-country_ Hong,native-country_ Hungary,native-country_ India,native-country_ Iran,native-country_ Ireland,native-country_ Italy,native-country_ Jamaica,native-country_ Japan,native-country_ Laos,native-country_ Mexico,native-country_ Nicaragua,native-country_ Outlying-US(Guam-USVI-etc),native-country_ Peru,native-country_ Philippines,native-country_ Poland,native-country_ Portugal,native-country_ Puerto-Rico,native-country_ Scotland,native-country_ South,native-country_ Taiwan,native-country_ Thailand,native-country_ Trinadad&Tobago,native-country_ United-States,native-country_ Vietnam,native-country_ Yugoslavia
age,1.0,0.0376229517996,0.0796832407947,0.059350578148,0.101992244782,0.0548230162286,0.0636942605231,-0.209763233648,0.106698359182,0.156174064732,0.0157604826895,0.0142488463435,-0.00516845774587,-0.0924687116871,-0.0512203619432,0.0349797668161,0.0297480189333,0.105120321479,0.0165110386,-0.0125626130419,-0.00324133073616,0.0032358578834,0.0710970863368,0.0125177784129,0.0949873687556,0.00770190913789,0.0624835936427,-0.0963258982453,0.136131450362,-0.0156362706432,0.306576590678,0.0159753110679,-0.526862072903,0.0147499064863,0.2558191837,-0.0378337222796,-0.0090030452598,0.0123829528129,0.108103912831,0.0386652840084,-0.0979229639229,-0.0169949011707,-0.0910263479283,0.0270209791131,0.0584822923035,0.00365197120902,-0.0309936728119,-0.0184096056563,0.0382130536053,0.305058209519,-0.0226296040501,-0.066992214106,-0.418089528018,0.045481068387,0.023678684821,-0.0162380997042,-0.0057002638702,-0.013410961102,-0.03160271388,0.0266042068229,-0.0820533475221,0.0820533475221,-0.00113387645292,0.0195605885286,0.0110275101296,0.00208686816395,0.030156928288,-0.00318766484649,-0.0025273623338,-0.0202959907671,0.0100841051913,0.00541424303826,0.00231607650328,0.0181617433253,-0.0224303901437,0.000565441708671,-0.00232958205805,-0.00485008001738,-0.00829537741897,0.0161149798737,-0.000163043552444,0.000871279039298,-0.00152602080166,0.024440133776,-0.00482338183818,-0.00282234337015,-0.00306782891496,-0.0527139375038,-0.00659187676305,0.00128561763345,-0.00401448217075,0.00755102992942,0.0111818363079,0.0056077544937,0.00474543534278,0.0118592100105,0.000235956870458,-0.00763874282981,-0.000653609049416,0.00284427671257,0.0120823772348,-0.0144026098085,0.00329436749472
education-num,0.0376229517996,1.0,0.126906802489,0.0817113146648,0.146206237665,0.0549702941197,0.0965242939106,-0.164869037437,0.0811738934694,0.0105684077652,0.102379908752,-0.00984550123225,-0.26896816483,-0.235385453276,-0.0943400207152,-0.223366523778,-0.279238516497,-0.326309448315,-0.246991783664,0.136845029739,0.0734810075491,0.506119136815,0.254224754994,-0.305323877212,0.368897981248,-0.142637286326,0.254151986669,-0.0245647840046,-0.00352643746943,0.00397711403992,0.0756233294294,-0.0360813927986,-0.027313442558,-0.0526689351598,-0.0646978302912,-0.00235842141726,0.00361485474378,-0.154960256738,0.201701632807,-0.114132958248,-0.136758800725,-0.16819060479,-0.181549867695,-0.0742618998873,0.425101917671,0.000618920847042,0.0311634671331,0.058648177757,-0.127253622681,0.0675582907671,0.0604979239828,-0.0882813987501,-0.0953814538466,-0.060224396804,0.0358156011517,-0.0269373812889,0.0625339149929,-0.0738748951362,-0.0477189575078,0.051555293045,-0.00341727184669,0.00341727184669,-0.00689469419094,0.0146984722021,0.0233557412272,-0.0135831868256,-0.0130776100633,-0.0515806185435,-0.0109870056372,-0.0769120892925,0.0233169917689,0.0217249131219,0.0236703152925,-0.00468778298273,-0.0636601850959,-0.0255599398571,-0.000218210677323,-0.0144771720874,0.0040683057591,0.0099305285342,0.0542640752289,0.0298931896982,-0.00192402927218,-0.0259731460394,-0.00712323472728,0.0217841020033,-0.0102475609179,-0.22761833162,-0.0145474245849,0.000547543643446,-0.00283817437954,0.0205927578361,0.000492621791849,-0.0471347497538,-0.0436307306467,0.00108384722552,0.0163375725505,0.0460988739055,0.00737873993422,-0.0101469150658,0.132241802058,-0.0102872181477,-0.00642541394452
capital-gain,0.0796832407947,0.126906802489,1.0,-0.0321023275897,0.0838804184349,-0.0042226650706,-0.0121180562755,-0.0479568533332,0.102329362381,0.028195827911,-0.00992410679181,-0.00222882661498,-0.0172737383515,-0.0228191757061,-0.0136858461367,-0.00918566678431,-0.00953060780963,-0.0154000784747,-0.012704621867,-0.0130844711047,-0.00839936503381,0.0384150813447,0.0730100096266,-0.0482672535107,0.0473751022261,-0.00137040693317,0.174936741143,-0.0374474932159,-0.0148064824802,0.00798208946801,0.0789701242398,-0.00652327258206,-0.0642882266364,-0.0114367038862,-0.0103529637247,-0.0311364843397,-0.00136007859227,-0.0205448456181,0.0580179067821,-0.00932792033559,-0.0236805071929,-0.0278285259666,-0.0408416012606,-0.0086891824878,0.085445260665,-0.00750329485641,0.00807348034157,-0.0105605718736,-0.0201943355558,0.0754445361399,-0.0227496561263,-0.0207381491943,-0.0504073404388,-0.0288608080097,0.014538300327,-0.00700263619743,0.00707462057221,-0.0215376085452,7.03658351957e-05,0.0166247319327,-0.0474442632992,0.0474442632992,-0.00111935209079,0.00175603403764,0.00278997161232,-0.00551608537602,-0.00443672062937,2.50410755023e-05,-0.00311482217526,-0.0052288344639,0.000324998315894,-0.00248465915444,0.000280539694966,0.000131710647637,-0.00540603829679,-0.00405125205582,-0.000690014653693,-0.00279181389206,-0.00187305258685,-0.00155216862352,0.0165998577028,0.00219803051574,-0.0022294820967,-0.00165344234745,-0.00434230430731,0.00462952068739,-0.0027682561193,-0.0126975941355,-0.00416839217168,-0.00323720735038,-0.00445993431639,0.00498329330171,-0.00475215289455,-0.00435184668861,-0.00627356329138,-0.00308648781784,-0.00127022600174,0.00558536553488,-0.00286773362674,-0.00313384911145,0.0109375051941,-0.00271216180673,-0.000556076097597
capital-loss,0.059350578148,0.0817113146648,-0.0321023275897,1.0,0.0541948660446,0.0091057140963,0.00944981189733,-0.032964671443,0.0372181749546,0.0154478099765,-0.0034593704464,6.7157898112e-05,-0.0120294633595,-0.0179867358533,-0.0164284448376,-0.00608485535889,-0.00487995839647,-0.010484606004,-0.0155061135269,0.00168634624245,-0.00994774357943,0.0402914545595,0.040216762148,-0.0330224509719,0.0471131754437,-0.0040922622074,0.0494943381451,-0.0193003604834,-0.0191116299001,-0.00277237290727,0.0766164134159,-0.00830774714026,-0.0594741191095,-0.0126832645657,-0.00363807884779,-0.0236903723005,0.00200726162734,-0.00926379073176,0.0502426152997,-0.0131059084985,-0.0219775653701,-0.0169150677374,-0.0407527862292,-0.00825207684539,0.0463071962338,-0.0010928196239,0.00865974093139,0.00354306981401,-0.00404087558212,0.0718220498629,-0.0167762134251,-0.0153350720615,-0.0501215801773,-0.0351668638531,0.0149543763543,-0.0116218593597,0.00219501316512,-0.0230559324752,-0.00660525263516,0.0232488341502,-0.0464573440085,0.0464573440085,0.00352985717089,0.00859253941131,0.0118222521976,-0.00220617847851,-0.00315448852296,-0.0053985277868,-0.00674953802234,-0.00873525105276,0.00350593387478,-0.00344916253002,-0.0037183387903,0.00701574144546,-0.00755193080744,-0.00160621110212,0.0245768080291,0.00361506504947,0.0113785304219,0.000200619108812,0.00422536600976,0.00369342072716,0.000715540857014,-0.00387416668362,-0.00829157022208,-0.00297680434864,-0.000305431532533,-0.0192696659797,-0.00138449430542,-0.00482669937751,-0.00370425464519,0.00072119021757,-0.00410831450619,-0.00810638088387,0.00332000746338,-0.0046019754735,0.00297042526515,0.00222677320502,-0.00233882954373,0.00437956383217,0.0117655800615,9.51493741516e-05,-0.00493523267022
hours-per-week,0.101992244782,0.146206237665,0.0838804184349,0.0541948660446,1.0,0.00738660061889,-0.0016387550569,-0.0945586968502,0.123667811816,0.0880122589196,-0.0320752672474,-0.0125398829666,-0.047640126312,-0.105779581839,-0.0507071499007,-0.0102561969103,-0.0175004703605,-0.0127714281434,-0.0199283716669,0.00904393215004,0.0189651239396,0.0707252765801,0.0583772985713,0.0094472307739,0.0613640156605,-0.0137897141099,0.0773523198701,-0.0644434609634,0.0148855952501,0.0036001527395,0.224075695238,-0.00764424736968,-0.212397642257,-0.0144326694605,-0.0867248421143,-0.100456909127,0.00113768078196,0.0433219700483,0.131206776633,0.0903178835837,-0.0558164340379,-0.00425184939576,-0.180072252008,-0.0480920278552,0.0437234979643,0.023173086941,-0.00649178299134,-0.0176349029479,0.0736834895498,0.256435177135,0.00499695647394,-0.0527783934226,-0.262844887927,-0.0428576296499,-0.0634515555751,-0.00200073770118,-0.00818239092572,-0.0542191237398,-0.00887523940075,0.0522904396521,-0.231424632211,0.231424632211,0.00250545622352,0.00326058858177,-0.00759870672464,-0.00207423194102,-0.00121602559148,0.00322484410507,-0.00163329302109,-0.0207675353133,0.00849726325342,0.00634899831662,0.00138322494066,0.0163475448122,-0.00818657556008,-0.0107918080392,-0.000367360526108,-0.0073529781207,-0.00135219600746,-0.00515961231241,0.00463020220727,0.00829854639743,0.00367178752944,0.00153682737427,-0.00697764963811,0.00546499835075,-0.00117094541427,-0.00512147809683,-0.0110300347828,0.000865532102146,-0.0105845144558,-0.00788075312023,-0.0081871735726,0.00432228776933,-0.0107125070877,0.00142244366181,0.0154200241138,0.000232973763091,0.0103153965713,-0.00417851370825,0.010227565205,-0.00803975018404,-0.00135382052461
workclass_ Federal-gov,0.0548230162286,0.0549702941197,-0.0042226650706,0.0091057140963,0.00738660061889,1.0,-0.0485962381175,-0.299500141261,-0.0348150906802,-0.0542254166708,-0.0379860519882,-0.00386110775731,-0.0180839726049,-0.0249173227693,-0.0112832139939,-0.0107590289692,-0.0166536978444,-0.020576216018,-0.015767482219,0.0242385023118,-0.00056788355976,0.0237663049368,0.00360707698958,-0.0183659789927,0.0149223971385,-0.00715341905572,0.00935861046451,0.0160928443126,0.0144331976894,0.00960677436523,0.0133782130298,-0.00250883659885,-0.0255786446059,-0.00430116291663,0.00638111655436,0.121921544032,0.0982381271491,-0.0356927659689,0.0296858592785,-0.0265054779024,-0.0175396000163,-0.0377209371356,-0.039466762321,-0.0128635930463,0.0195959569885,0.0137257260357,-0.0593451512427,0.0364183940996,-0.0208112503538,0.0164725605133,0.00761381181558,-0.00819457733619,-0.038913951531,0.0137211446584,-0.00243369446669,0.0254217970387,0.0133195961877,0.0536309825614,-0.00141172244912,-0.0582574891521,-0.00323255271691,0.00323255271691,0.00101852803257,-0.00227019730785,-0.00386182046471,-0.00164548796606,-0.0026706565396,-0.00830526618204,-0.00552639874422,-0.00575324103604,0.000746487646432,-0.000538826216933,0.00390769866464,-0.00589976712556,-0.00489487574142,-0.00047422942179,-0.000842376447037,-0.00367256480111,-0.00445876847045,-0.0035745725485,-0.00127668317834,0.000937937415726,-0.00505621575755,-0.0057206452429,-0.0058861933957,0.000669514090809,0.00205256205916,-0.0219266515166,-0.00192649678232,-0.00395201349934,-0.00161270564865,0.0164811813914,0.00145117822726,-0.00319411191976,0.00935544576672,-0.0037680136616,-0.00307730601161,-0.00625096429603,-0.00453774105679,0.00101852803257,0.0163672066673,-0.00172811023996,-0.00404087858175
workclass_ Local-gov,0.0636942605231,0.0965242939106,-0.0121180562755,0.00944981189733,-0.0016387550569,-0.0485962381175,1.0,-0.45357289133,-0.0527251215148,-0.0821207593403,-0.0575273298969,-0.00584738892556,-0.017715362735,-0.0235429174801,-0.0113478928546,-0.0127940630674,-0.0165753149484,-0.0114026820722,-0.0110629237786,0.0115526745003,-0.00485360952811,0.0403348595187,-0.0026422446287,-0.0485773747277,0.131635340314,-0.00205368149408,-0.00925493457688,-0.019382370559,0.0230874648277,-0.00721905205646,0.0132745522626,-0.004654242092,-0.0394373673211,-0.000364942546056,0.0277139693464,0.0096698607047,-0.00477400341916,-0.0527263115252,-0.0209730176429,-0.0287512176816,-0.0321075577866,-0.0641531338525,-0.0098206296776,-0.0194810495458,0.162984844498,0.230103545235,-0.0956679717887,-0.0197414813013,-0.00109707214628,-0.000811863281394,-0.00463182830129,-0.0161910184228,-0.0309870880882,0.0300859945946,0.0327792649986,0.0315424278036,-0.0163854928452,0.0412323781822,-0.0121298858508,-0.0325169107564,0.0442170002754,-0.0442170002754,-0.00650673364336,-0.00171400071441,-0.00831940676496,-0.00744859187697,-0.00180551568425,-0.00501153196111,-0.00553005653113,-0.0078053268535,-0.00368549535634,0.00475411285975,0.00237570587912,-0.00627483079554,-0.00380711092034,-0.00163669835916,-0.00127572267265,-0.00129159641454,-0.00323451261874,-0.00541345055551,-0.01088013404,-0.00457570927595,-0.00765729989534,-0.00345605531608,-0.000111472270988,-0.00809773285565,-0.00178547460925,-0.0255865981854,-0.000780542905481,-0.00201649118789,-0.0057864215723,-0.00377284719789,-0.00528287468506,-0.00532171823369,0.00141460311109,-0.00570640415682,-0.0128350535162,-0.00444494693298,-0.00341526022478,0.000794693374507,0.0342981797213,-0.00345470696225,-0.00223826039924
workclass_ Private,-0.209763233648,-0.164869037437,-0.0479568533332,-0.032964671443,-0.0945586968502,-0.299500141261,-0.45357289133,1.0,-0.324946579271,-0.506112818105,-0.354542740301,-0.0360376415347,0.0338030858005,0.0571622236785,0.029978438876,0.0247726203451,0.0310366995957,0.00106739918206,0.0248663434988,-0.0122888307259,0.00743523068513,-0.0557298796178,-0.0689156105857,0.0685950637221,-0.113617177887,0.0112941169082,-0.0892346510193,0.016044925305,0.00320739265288,0.000814165596058,-0.131173949483,0.0088868926734,0.135197825333,0.0189884936618,-0.0192540816677,0.0108194521314,-0.0294223329584,0.0366669376761,-0.0701239288374,-0.12048589499,0.0946958847509,0.131420426872,0.0667361130671,0.0429502069417,-0.164905007233,-0.146758785144,0.060471665623,0.0247937445193,0.0326133203423,-0.125606095094,0.0388806137871,0.0470441017074,0.103880359256,0.0142808347617,-0.0205732496268,-0.0217995723785,-0.00140684153985,0.00568749488469,0.0216793484153,-0.00346281544894,0.0648225374733,-0.0648225374733,0.00596909100121,-0.0059078581065,0.00178268673134,0.00897340919157,-0.00274150259983,0.0179651827377,0.00868006849012,0.023573706087,0.00230644152686,-0.00269609549168,-0.00396471895782,-0.0108172782835,0.0168900777607,0.00666185403945,0.00281260784549,-0.00243458811868,0.00681547063013,-0.00568091395437,-0.00552826390738,-0.00748686624199,0.00976280807716,-0.00176565017161,0.0117287786007,0.00390709339033,0.00823188894319,0.054155757107,0.00716369884589,0.00636607241615,0.012508337306,0.0124535596869,0.00752858838079,0.00588186016658,0.0105984100776,0.00541854457026,-0.0174273018091,-0.005053483004,-0.00269503486345,-0.000313221916898,-0.0476626470037,0.00805550236886,0.00013356930945
workclass_ Self-emp-inc,0.106698359182,0.0811738934694,0.102329362381,0.0372181749546,0.123667811816,-0.0348150906802,-0.0527251215148,-0.324946579271,1.0,-0.0588325721067,-0.0412134618755,-0.00418915915248,-0.0127493207276,-0.0234689502415,-0.00947032133825,-0.0119615214515,-0.0111264558417,-0.0123275621467,-0.0122654344417,0.00207090039426,-0.00829652385152,0.0403145619812,0.0359579335767,-0.0312318871862,0.00953072002501,-0.00776119517827,0.088985654608,-0.00951060315094,-0.0293991656207,-0.00517183966716,0.108565029886,-0.0140777572176,-0.0819097385375,-0.0179005566994,-0.00533203114616,-0.0567731178795,-0.00342016930495,-0.0212433288492,0.133181768691,0.0186685537162,-0.0388993371423,-0.0448550518177,-0.0509475357119,-0.0139565228247,0.00811232826725,-0.0248027612663,0.0764754083258,-0.0289001449642,-0.0253354171361,0.11430099232,-0.0482410631418,-0.0257510157279,-0.0494752450373,-0.037713968057,-0.00793277757563,-0.0167345456287,0.00605134695407,-0.0470040913104,-0.0105303090511,0.0439325282897,-0.0846755019259,0.0846755019259,-0.00466152382574,0.0139241050314,0.00209780394862,-0.00828356688224,0.0156100643172,-0.00390648332981,-0.00599593829926,-0.00902459114296,-0.00537340301181,0.00288732538811,0.00176626348622,0.0294889876655,-0.00848357542776,-0.00154728097504,-0.000913947298222,0.00753880557199,-9.08991640203e-05,0.00204124083422,0.00964467055269,-0.000128590670999,-0.00129924087779,0.00593282967463,-0.00680910585942,0.00202629179553,-0.00418915915248,-0.020145628648,-0.00633530574848,-0.00428778852135,-0.00613392974085,-0.0124285559536,-0.00544037620401,0.00556305268407,-0.0102119388425,-0.00408815550078,0.020820048713,0.020320424598,0.0137334938078,0.00519002447071,0.00546795949983,-0.00557536853073,0.000852799333067
workclass_ Self-emp-not-inc,0.156174064732,0.0105684077652,0.028195827911,0.0154478099765,0.0880122589196,-0.0542254166708,-0.0821207593403,-0.506112818105,-0.0588325721067,1.0,-0.0641910475883,-0.00652472522993,-0.000816252896253,-0.0141214818555,-0.0138083825776,-0.0041473617092,-0.00377193976507,0.0405169713177,0.0014822838629,-0.0073308753926,0.0025691714196,-0.0103462520287,0.0178012478479,0.00426596337682,-0.00418634387622,-0.00208768837405,0.0782190118817,-0.021972933693,-0.0243191103776,0.000941258776688,0.119679142484,0.00120867677836,-0.107174865803,-0.0157970354875,0.00857206119511,-0.0963236062575,-0.00532700337762,0.0658866877941,0.0168727609304,0.236095804328,-0.0578384630578,-0.0615853052741,-0.0335254845033,-0.0217376502735,0.013551531814,-0.0411174071569,0.0295023623391,-0.035298691469,-0.00593591559794,0.120532205705,-0.0413842081222,-0.0254238460629,-0.0713033090644,-0.0404090153043,0.00359927669698,-0.00205440508312,-0.00923653717292,-0.0621534864381,-0.0141639877984,0.060818901782,-0.104971194831,0.104971194831,-0.000607047874791,0.0070758191502,-0.0071643846696,0.00209333372589,0.0056486364602,-0.0088636948615,-0.00157691611477,-0.0116830983919,0.00468683995973,-6.1898823269e-05,-0.00146878904689,0.0118452266106,-0.00772227468601,-0.00570415676665,-0.0014234968829,-0.00231485896433,-0.00753468718362,0.017946522484,-0.00187642597554,0.0188187470722,-6.18988232709e-05,0.00951695237715,-0.00777191612432,0.000952219974849,-0.00652472522993,-0.016416878897,-0.00252046428047,-0.00306200014011,-0.00449533266508,-0.0159321897538,-0.00339324538239,-0.00259559614456,-0.0124454584388,0.00121812768752,0.0329778635038,-0.00827523282342,0.00178196966873,-0.00393374673493,0.0124246821886,6.12215321428e-05,0.00731905662809
